0x00   | 63808 67.40%| 66000 69.72%| 64267 67.89%| 36197 38.24%| 44128 46.61%| 52360 55.31%| 45860 48.44%|  1257  1.33%|
0x2c , |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|   355  0.37%|
0x2d - |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|   592  0.63%|   118  0.12%|   161  0.17%|
0x2e . |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|  1229  1.30%|
0x2f / |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|   341  0.36%|   994  1.05%|
0x30 0 |     0  0.00%|     0  0.00%|   134  0.14%|     0  0.00%|     4  0.00%|     0  0.00%|   607  0.64%|  1274  1.35%|
0x31 1 |     0  0.00%|    44  0.05%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|  1408  1.49%|
0x32 2 |     0  0.00%|  4827  5.10%|    44  0.05%|    44  0.05%|    12  0.01%|     0  0.00%|     0  0.00%|   105  0.11%|
0x33 3 |     0  0.00%|     0  0.00%|    44  0.05%|     0  0.00%|     8  0.01%|     0  0.00%|    30  0.03%|    71  0.07%|
0x34 4 |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    54  0.06%|     0  0.00%|     0  0.00%|    75  0.08%|
0x35 5 |     0  0.00%|   118  0.12%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|  1139  1.20%|
0x36 6 |     0  0.00%|    44  0.05%|    44  0.05%|  1199  1.27%|    13  0.01%|     0  0.00%|     0  0.00%|    14  0.01%|
0x37 7 |     0  0.00%|     0  0.00%|  1200  1.27%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|  2429  2.57%|
0x38 8 |     0  0.00%|     0  0.00%|     0  0.00%|    44  0.05%|    14  0.01%|     0  0.00%|   651  0.69%|   298  0.31%|
0x39 9 |     0  0.00%|   785  0.83%|     0  0.00%|   607  0.64%|    52  0.05%|    44  0.05%|     0  0.00%|  1288  1.36%|
0x3a : |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|  1289  1.36%|
0x3b ; |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|   384  0.41%|
0x3c < |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     2  0.00%|   607  0.64%|   119  0.13%|    89  0.09%|
0x3d = |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|  1304  1.38%|
0x3e > |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|   326  0.34%|   953  1.01%|
0x3f ? |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|   545  0.58%|
0x40 @ |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x41 A |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  4828  5.10%|    30  0.03%|     0  0.00%|     0  0.00%|
0x42 B |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x43 C |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x44 D |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x45 E |     0  0.00%|     0  0.00%|     0  0.00%|  1200  1.27%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x46 F |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    40  0.04%|     0  0.00%|     0  0.00%|     0  0.00%|
0x47 G |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    13  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x48 H |     0  0.00%|     0  0.00%|    30  0.03%|     0  0.00%|     6  0.01%|     0  0.00%|   592  0.63%|     0  0.00%|
0x49 I |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4a J |     0  0.00%|    30  0.03%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4b K |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4c L |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4d M |     0  0.00%|     0  0.00%|  1199  1.27%|    30  0.03%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4e N |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x4f O |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x50 P |     0  0.00%|     0  0.00%|     0  0.00%|  4827  5.10%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x51 Q |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x52 R |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|   172  0.18%|     0  0.00%|     0  0.00%|     0  0.00%|
0x53 S |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|    44  0.05%|     0  0.00%|     0  0.00%|
0x54 T |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x55 U |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x56 V |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x57 W |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|   607  0.64%|     0  0.00%|
0x58 X |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x59 Y |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    14  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x5a Z |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|  1200  1.27%|     0  0.00%|     0  0.00%|
0x5b [ |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x5c \ |     0  0.00%|     0  0.00%|  1214  1.28%|     0  0.00%|     1  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x5d ] |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x5e ^ |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x5f _ |     0  0.00%|     0  0.00%|     0  0.00%|   142  0.15%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x60 ` |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x61 a |     0  0.00%|     0  0.00%|     0  0.00%|   209  0.22%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x62 b |     0  0.00%|     0  0.00%|     0  0.00%|    72  0.08%|     3  0.00%|     0  0.00%|    44  0.05%|     0  0.00%|
0x63 c |     0  0.00%|     0  0.00%|     0  0.00%|   143  0.15%|     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x64 d |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x65 e |     0  0.00%|   489  0.52%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x66 f |     0  0.00%|     0  0.00%|     0  0.00%|    70  0.07%|    12  0.01%|     0  0.00%|   607  0.64%|     0  0.00%|
0x67 g |     0  0.00%|     0  0.00%|     0  0.00%|   141  0.15%|     7  0.01%|     0  0.00%|  1035  1.09%|     0  0.00%|
0x68 h |     0  0.00%|     0  0.00%|     0  0.00%|    69  0.07%|     6  0.01%|     0  0.00%|  1364  1.44%|     0  0.00%|
0x69 i |     0  0.00%|     0  0.00%|     0  0.00%|    70  0.07%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6a j |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6b k |  4827  5.10%|  4827  5.10%|  1214  1.28%|    70  0.07%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6c l |     0  0.00%|     0  0.00%|     0  0.00%|    71  0.07%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6d m |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6e n |     0  0.00%|     0  0.00%|     0  0.00%|   139  0.15%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x6f o |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x70 p |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x71 q |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x72 r |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    13  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x73 s |     0  0.00%|     0  0.00%|     0  0.00%|    70  0.07%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x74 t |   489  0.52%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x75 u |     0  0.00%|     0  0.00%|     0  0.00%|    69  0.07%|    10  0.01%|     0  0.00%|   593  0.63%|     0  0.00%|
0x76 v |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x77 w |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x78 x |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x79 y |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7a z |     0  0.00%|     0  0.00%|  1200  1.27%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7b { |     0  0.00%|     0  0.00%|     0  0.00%|    71  0.07%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7c | |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7d } |     0  0.00%|     0  0.00%|     0  0.00%|    71  0.07%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7e ~ |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x7f   |  2399  2.53%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|   489  0.52%|     0  0.00%|     0  0.00%|
0x80   |  7700  8.13%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x81   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    13  0.01%|     0  0.00%|     0  0.00%|  9063  9.57%|
0x82   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|  2413  2.55%|  2413  2.55%|
0x83   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|  8214  8.68%|  8214  8.68%|  8214  8.68%|
0x84   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%| 12169 12.85%| 12163 12.85%| 12163 12.85%| 12297 12.99%|
0x85   |     0  0.00%|     0  0.00%|     0  0.00%|  5479  5.79%|  5481  5.79%|  5479  5.79%|  5479  5.79%|  5479  5.79%|
0x86   |     0  0.00%|     0  0.00%|  3642  3.85%|  3642  3.85%|  3651  3.86%|  3642  3.85%|  3642  3.85%|  3642  3.85%|
0x87   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x88   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x89   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1207  1.27%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8a   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8b   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8c   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8d   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8e   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x8f   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x90   |     0  0.00%|     0  0.00%|  2385  2.52%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x91   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    15  0.02%|     0  0.00%|     0  0.00%|     0  0.00%|
0x92   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x93   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|   119  0.13%|
0x94   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x95   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x96   |    44  0.05%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x97   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x98   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1218  1.29%|     0  0.00%|     0  0.00%|     0  0.00%|
0x99   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9a   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9b   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9c   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9d   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9e   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0x9f   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    14  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa0   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa1   |     0  0.00%|     0  0.00%|     0  0.00%|  4827  5.10%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa2   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|   118  0.12%|
0xa3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa4   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1216  1.28%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa8   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  4674  4.94%|     0  0.00%|     0  0.00%|     0  0.00%|
0xa9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|   169  0.18%|     0  0.00%|     0  0.00%|     0  0.00%|
0xaa   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xab   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xac   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xad   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xae   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xaf   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb0   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb1   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|   118  0.12%|
0xb2   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb4   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1210  1.28%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb8   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xb9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xba   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xbb   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xbc   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xbd   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xbe   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xbf   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc0   |     0  0.00%|     0  0.00%|  4827  5.10%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc1   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
